Code INSEE département,Mois,TMin (°C),TMax (°C),TMoy (°C)
16,2024-07-01,16.019354838709678,27.63225806451613,21.825806451612905
16,2024-08-01,15.661290322580646,28.364516129032257,22.01290322580645
16,2024-09-01,12.446666666666665,21.886666666666667,17.166666666666668
16,2024-10-01,11.870967741935484,20.016129032258064,15.943548387096774
16,2024-11-01,7.926666666666667,16.283333333333335,12.104999999999999
16,2024-12-01,3.8741935483870966,10.593548387096773,7.233870967741935
16,2025-01-01,3.487096774193548,10.729032258064517,7.108064516129032
16,2025-02-01,4.25,13.332142857142857,8.79107142857143
17,2018-01-01,8.07741935483871,11.535483870967743,9.806774193548387
17,2018-02-01,3.5,7.918214285714286,5.709285714285714
17,2018-03-01,6.830322580645162,11.305483870967743,9.068064516129033
17,2018-04-01,10.806666666666667,15.600333333333333,13.204
17,2018-05-01,12.70032258064516,18.09967741935484,15.399677419354838
17,2018-06-01,16.743000000000002,22.89,19.816333333333333
17,2018-07-01,18.779032258064515,24.000645161290322,21.38967741935484
17,2018-08-01,17.429032258064513,23.340645161290322,20.384838709677418
17,2018-09-01,15.124333333333334,21.870333333333335,18.497333333333334
17,2018-10-01,11.889032258064516,17.99967741935484,14.943870967741935
17,2018-11-01,8.811666666666667,13.052999999999999,10.932666666666668
17,2018-12-01,8.506129032258064,11.515483870967742,10.010645161290322
17,2019-01-01,5.372903225806452,9.060322580645161,7.21741935483871
17,2019-02-01,6.8810714285714285,12.17607142857143,9.528571428571428
17,2019-03-01,8.445806451612903,13.456129032258064,10.951612903225806
17,2019-04-01,9.232333333333335,14.843,12.036666666666667
17,2019-05-01,11.370322580645162,16.80838709677419,14.089677419354837
17,2019-06-01,15.635,21.108999999999998,18.37
17,2019-07-01,18.41290322580645,24.661290322580644,21.536774193548386
17,2019-08-01,17.766451612903225,22.92806451612903,20.346774193548388
17,2019-09-01,15.547666666666666,21.49233333333333,18.52
17,2019-10-01,14.175483870967742,17.865161290322582,16.02032258064516
17,2019-11-01,9.247333333333334,12.796333333333333,11.021666666666667
17,2019-12-01,8.135806451612904,11.97258064516129,10.053548387096775
17,2020-01-01,7.651935483870968,11.233870967741936,9.443870967741935
17,2020-02-01,8.903103448275862,12.460344827586209,10.681379310344827
17,2020-03-01,8.07709677419355,12.863548387096774,10.470967741935485
17,2020-04-01,11.246666666666666,17.064333333333334,14.154666666666666
17,2020-05-01,13.22709677419355,19.85516129032258,16.54064516129032
17,2020-06-01,15.421333333333333,19.822666666666667,17.621666666666666
17,2020-07-01,17.004193548387097,22.857741935483872,19.931935483870966
17,2020-08-01,18.353870967741937,23.48483870967742,20.919032258064515
17,2020-09-01,16.262666666666668,22.007333333333335,19.136000000000003
17,2020-10-01,12.397096774193548,16.338387096774195,14.367741935483872
17,2020-11-01,10.049333333333333,15.050333333333333,12.550333333333333
17,2020-12-01,7.860322580645161,11.604516129032259,9.731935483870968
17,2021-01-01,4.78258064516129,8.59741935483871,6.690322580645161
17,2021-02-01,7.056785714285715,11.259285714285713,9.157857142857143
17,2021-03-01,7.118709677419355,12.94741935483871,10.033225806451613
17,2021-04-01,8.082666666666666,15.405,11.744666666666665
17,2021-05-01,11.71774193548387,16.386774193548387,14.051935483870968
17,2021-06-01,16.523666666666667,21.515333333333334,19.01966666666667
17,2021-07-01,17.606774193548386,22.259677419354837,19.93322580645161
17,2021-08-01,16.72483870967742,21.968387096774194,19.34774193548387
17,2021-09-01,16.705333333333332,22.654333333333334,19.67866666666667
17,2021-10-01,12.195806451612903,17.951290322580647,15.074516129032258
17,2021-11-01,7.156333333333333,11.831,9.493333333333334
17,2021-12-01,6.848387096774194,10.655806451612902,8.750967741935483
17,2022-01-01,4.730322580645161,8.660322580645163,6.696451612903226
17,2022-02-01,7.099285714285714,11.214285714285714,9.155714285714286
17,2022-03-01,8.193548387096774,14.119354838709677,11.15741935483871
17,2022-04-01,9.523666666666665,15.072000000000001,12.298333333333334
17,2022-05-01,13.816451612903226,20.693225806451615,17.25483870967742
17,2022-06-01,16.550666666666665,21.962333333333333,19.25633333333333
17,2022-07-01,17.753870967741936,25.036129032258064,21.39548387096774
17,2022-08-01,18.70483870967742,25.477096774193548,22.091290322580647
17,2022-09-01,15.821,21.819666666666667,18.820666666666668
17,2022-10-01,15.629677419354838,20.350322580645162,17.990322580645163
17,2022-11-01,11.513,15.752666666666666,13.632
17,2022-12-01,5.764516129032257,9.860322580645162,7.811935483870967
